ID,Name,Symbol,Security_ID,Sector
204,"ABANS ELECTRICALS PLC","ABAN.N0000",642,manufacturing
1845,"ABANS FINANCE PLC","AFSL.N0000",1069,financial
2065,"ACCESS ENGINEERING PLC","AEL.N0000",1141,construction
472,"ACL CABLES PLC","ACL.N0000",644,manufacturing
406,"ACL PLASTICS PLC","APLA.N0000",643,manufacturing
554,"ACME PRINTING & PACKAGING PLC","ACME.N0000",661,manufacturing
163,"AGALAWATTE  PLANTATIONS  PLC","AGAL.N0000",704,plantations
2026,"AGSTAR PLC","AGST.N0000",1121,diversified
144,"AITKEN SPENCE HOTEL HOLDINGS PLC","AHUN.N0000",521,hotels
343,"AITKEN SPENCE PLC","SPEN.N0000",501,diversified
395,"ALLIANCE FINANCE COMPANY PLC","ALLI.N0000",341,financial
5511,"ALPHA FIRE SERVICES PLC","AFS.N0000",2774,services
3082,"ALUMEX PLC","ALUM.N0000",1323,manufacturing
3046,"AMANA BANK PLC","ABL.N0000",1303,banking
364,"AMANA TAKAFUL PLC","ATL.N0000",361,insurance
3575,"AMANA TAKAFUL LIFE PLC","ATLL.N0000",1484,insurance
2145,"AMBEON CAPITAL PLC","TAP.N0000",1181,financial
121,"AMBEON HOLDINGS PLC","GREG.N0000",782,diversified
3244,"ARPICO INSURANCE PLC","AINS.N0000",1405,insurance
2025,"ASIA ASSET FINANCE PLC","AAF.N0000",1108,financial
160,"ASIA CAPITAL PLC","ACAP.N0000",363,financial
2209,"ASIA SIYAKA COMMODITIES LIMITED","ASIY.N0000",1205,commodities
143,"ASIAN HOTELS AND PROPERTIES PLC","AHPL.N0000",690,hotels
240,"ASIRI SURGICAL HOSPITAL PLC","AMSL.N0000",513,healthcare
225,"ASIRI HOSPITAL HOLDINGS PLC","ASIR.N0000",512,healthcare
1844,"ASSOCIATED MOTOR FINANCE COMPANY PLC","AMF.N0000",1068,financial
5753,"Agarapatana Plantations PLC","AGPL.N0000",3027,plantations
3794,"B P P L HOLDINGS PLC","BPPL.N0000",1524,diversified
188,"BAIRAHA FARMS PLC","BFL.N0000",452,agriculture
193,"BALANGODA  PLANTATIONS  PLC","BALA.N0000",705,plantations
3080,"BANSEI ROYAL RESORTS HIKKADUWA PLC","BRR.N0000",1322,hotels
2188,"BERUWALA RESORTS PLC","BERU.N0000",1201,hotels
189,"BOGALA GRAPHITE LANKA PLC","BOGA.N0000",664,manufacturing
34,"BOGAWANTALAWA TEA ESTATES PLC","BOPL.N0000",706,plantations
25,"BROWN & COMPANY PLC","BRWN.N0000",764,diversified
128,"BROWNS BEACH HOTELS PLC","BBH.N0000",525,hotels
1851,"BROWNS INVESTMENTS PLC","BIL.N0000",1077,diversified
165,"BUKIT DARAH PLC","BUKI.N0000",456,plantations
208,"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000",369,banking
172,"HATTON NATIONAL BANK PLC","HNB.N0000",373,banking
266,"SAMPATH BANK PLC","SAMP.N0000",431,banking
42,"SEYLAN BANK PLC","SEYB.N0000",443,banking
239,"DFCC BANK PLC","DFCC.N0000",371,banking
471,"DIALOG AXIATA PLC","DIAL.N0000",389,telecommunications
551,"CARGILLS (CEYLON) PLC","CARG.N0000",457,retail
68,"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000",463,beverages
381,"CEYLON TOBACCO COMPANY PLC","CTC.N0000",460,manufacturing
115,"ELPITIYA PLANTATIONS PLC","ELPL.N0000",707,plantations
116,"GALADARI HOTELS (LANKA) PLC","GHLL.N0000",541,hotels
132,"HAPUGASTENNE PLANTATIONS PLC","HAPU.N0000",708,plantations
175,"HAYLEYS PLC","HAYL.N0000",505,diversified
325,"HEMAS HOLDINGS PLC","HHL.N0000",506,healthcare
104,"JOHN KEELLS HOTELS PLC","KHL.N0000",561,hotels
322,"LB FINANCE PLC","LFIN.N0000",379,financial
410,"L O L C HOLDINGS PLC","LOLC.N0000",378,financial
77,"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000",386,banking
9,"NATIONS TRUST BANK PLC","NTB.N0000",387,banking
105,"PAN ASIA BANKING CORPORATION PLC","PABC.N0000",388,banking
556,"SRI LANKA TELECOM PLC","SLTL.N0000",390,telecommunications
297,"JOHN KEELLS HOLDINGS PLC","JKH.N0000",508,diversified
